epoch,batch,train_loss,val_loss
0,0,8.16153621673584,
0,1,8.540749549865723,8.609942436218262
1,0,8.403225898742676,
1,1,7.434505462646484,8.46286678314209
2,0,7.955846786499023,
2,1,7.721433639526367,8.318645477294922
3,0,7.519258975982666,
3,1,8.009682655334473,8.17530345916748
4,0,7.794677734375,
4,1,6.866613864898682,8.029267311096191
5,0,7.399538993835449,
5,1,7.057333946228027,7.880459785461426
6,0,7.076162338256836,
6,1,7.085305213928223,7.7298994064331055
7,0,6.926273345947266,
7,1,6.766758918762207,7.5756707191467285
8,0,6.542418003082275,
8,1,6.896339416503906,7.418099403381348
9,0,6.459905624389648,
9,1,6.404143810272217,7.2585344314575195
10,0,6.064633369445801,
10,1,6.539224624633789,7.097982406616211
11,0,6.173186302185059,
11,1,5.663787841796875,6.936522483825684
12,0,5.838878154754639,
12,1,5.669343948364258,6.77358341217041
13,0,5.678819179534912,
13,1,5.331243991851807,6.609229564666748
14,0,5.437436103820801,
14,1,5.1561174392700195,6.44210147857666
15,0,5.128351211547852,
15,1,5.120479106903076,6.272012233734131
16,0,5.222003936767578,
16,1,4.239251613616943,6.100788116455078
17,0,4.791479587554932,
17,1,4.448215961456299,5.92675256729126
18,0,4.472576141357422,
18,1,4.402903079986572,5.748642444610596
19,0,4.2475996017456055,
19,1,4.192885875701904,5.570093631744385
20,0,3.982682704925537,
20,1,4.04946231842041,5.391139984130859
21,0,3.8388590812683105,
21,1,3.6822848320007324,5.213907718658447
22,0,3.4171082973480225,
22,1,3.863628625869751,5.039937496185303
23,0,3.4404706954956055,
23,1,3.2106080055236816,4.869420051574707
24,0,3.1339826583862305,
24,1,3.2231907844543457,4.705774784088135
25,0,3.088127613067627,
25,1,2.7358334064483643,4.553989887237549
26,0,2.831951379776001,
26,1,2.702500343322754,4.413156986236572
27,0,2.670386791229248,
27,1,2.4861302375793457,4.282668590545654
28,0,2.2763352394104004,
28,1,2.7746646404266357,4.160680770874023
29,0,2.225100040435791,
29,1,2.379425048828125,4.048749923706055
30,0,2.0254011154174805,
30,1,2.329965591430664,3.9441933631896973
31,0,1.8692030906677246,
31,1,2.211404323577881,3.84588623046875
32,0,1.8793407678604126,
32,1,1.7662099599838257,3.7528421878814697
33,0,1.4572296142578125,
33,1,2.1874356269836426,3.667743444442749
34,0,1.5433578491210938,
34,1,1.6542115211486816,3.5866758823394775
35,0,1.4404492378234863,
35,1,1.494046688079834,3.5147862434387207
36,0,1.412993311882019,
36,1,1.2217912673950195,3.4467384815216064
37,0,1.2194803953170776,
37,1,1.2856414318084717,3.3849503993988037
38,0,1.0785019397735596,
38,1,1.272336483001709,3.3278896808624268
39,0,1.1736204624176025,
39,1,0.8226357102394104,3.276158332824707
40,0,1.0073137283325195,
40,1,0.9056752920150757,3.231844663619995
41,0,0.9031661748886108,
41,1,0.8834011554718018,3.1927247047424316
42,0,0.9194362759590149,
42,1,0.6420023441314697,3.159623384475708
43,0,0.6744694113731384,
43,1,0.9358190894126892,3.130063056945801
44,0,0.7081176042556763,
44,1,0.7032794952392578,3.1034281253814697
45,0,0.6586963534355164,
45,1,0.6460039019584656,3.0796444416046143
46,0,0.6049401164054871,
46,1,0.6059097051620483,3.0565073490142822
47,0,0.4946242868900299,
47,1,0.6907104253768921,3.033402681350708
48,0,0.5316165685653687,
48,1,0.5008236765861511,3.011667251586914
49,0,0.466827392578125,
49,1,0.5136466026306152,2.992128372192383
50,0,0.4727209210395813,
50,1,0.4004707932472229,2.9728963375091553
51,0,0.33245888352394104,
51,1,0.5820657014846802,2.9552745819091797
52,0,0.4062134623527527,
52,1,0.35177701711654663,2.93932843208313
53,0,0.3509541153907776,
53,1,0.3780801296234131,2.9247798919677734
54,0,0.280095636844635,
54,1,0.442573606967926,2.9110281467437744
55,0,0.2952641248703003,
