epoch,batch,train_loss,val_loss
0.0,0.0,9.331836700439451,
0.0,1.0,9.460086822509766,
0.0,2.0,9.210455894470217,
0.0,3.0,9.019189834594728,
0.0,4.0,8.838865280151367,
0.0,5.0,8.751884460449219,
0.0,6.0,8.289796829223633,
0.0,7.0,8.367049217224121,
0.0,8.0,7.931260108947754,
0.0,9.0,7.758193016052246,
0.0,10.0,7.509668350219727,
0.0,11.0,7.481316089630127,
0.0,12.0,7.111732006072998,7.755781300969254
1.0,0.0,6.951876163482666,
1.0,1.0,6.840201377868652,
1.0,2.0,6.527936458587647,
1.0,3.0,6.5641045570373535,
1.0,4.0,6.492537021636963,
1.0,5.0,6.223582744598389,
1.0,6.0,5.862195014953613,
1.0,7.0,5.830379486083984,
1.0,8.0,5.530975341796875,
1.0,9.0,5.376187324523926,
1.0,10.0,5.201558589935303,
1.0,11.0,5.260341167449951,
1.0,12.0,5.131749153137207,5.407504527261512
2.0,0.0,4.879611015319824,
2.0,1.0,4.611234664916992,
2.0,2.0,4.5092453956604,
2.0,3.0,4.443355560302734,
2.0,4.0,4.331452369689941,
2.0,5.0,4.173774719238281,
2.0,6.0,4.031670093536377,
2.0,7.0,3.991966724395752,
2.0,8.0,3.7770767211914062,
2.0,9.0,3.721175193786621,
2.0,10.0,3.6003267765045166,
2.0,11.0,3.5135481357574463,
2.0,12.0,3.2162210941314697,3.884643526470256
3.0,0.0,3.2307283878326416,
3.0,1.0,3.16385555267334,
3.0,2.0,3.0601236820220947,
3.0,3.0,2.900074958801269,
3.0,4.0,2.755847930908203,
3.0,5.0,2.8023502826690674,
3.0,6.0,2.5547966957092285,
3.0,7.0,2.592512369155884,
3.0,8.0,2.398235559463501,
3.0,9.0,2.396573305130005,
3.0,10.0,2.217642307281494,
3.0,11.0,2.1066911220550537,
3.0,12.0,2.1277079582214355,2.9145291617000053
4.0,0.0,1.9557006359100344,
4.0,1.0,1.9369843006134035,
4.0,2.0,1.7923524379730225,
4.0,3.0,1.6681476831436155,
4.0,4.0,1.7144529819488523,
4.0,5.0,1.6277692317962646,
4.0,6.0,1.6383318901062012,
4.0,7.0,1.466665267944336,
4.0,8.0,1.4729843139648438,
4.0,9.0,1.39346444606781,
4.0,10.0,1.356190800666809,
4.0,11.0,1.2025060653686523,
4.0,12.0,1.385285496711731,2.177057566114973
4.0,12.0,1.385285496711731,1.699926073378676
0.0,0.0,6.999749660491943,
0.0,1.0,7.039080619812012,6.797972679138184
1.0,0.0,6.315979957580566,
1.0,1.0,6.715926647186279,6.404705047607422
2.0,0.0,6.351451396942139,
2.0,1.0,5.193404674530029,6.048024654388428
3.0,0.0,5.956830978393555,
3.0,1.0,4.634003639221191,5.726891994476318
4.0,0.0,5.245046615600586,
4.0,1.0,4.786367893218994,5.437386512756348
5.0,0.0,4.890682220458984,
5.0,1.0,4.4033308029174805,5.172553539276123
6.0,0.0,4.35279655456543,
6.0,1.0,4.428807258605957,4.9329071044921875
7.0,0.0,4.182126522064209,
7.0,1.0,3.831481695175171,4.711934566497803
8.0,0.0,3.7532219886779785,
8.0,1.0,3.82145357131958,4.5089240074157715
9.0,0.0,3.8467578887939453,
9.0,1.0,2.8417818546295166,4.323616981506348
10.0,0.0,3.354592800140381,
10.0,1.0,3.0839178562164307,4.154871940612793
11.0,0.0,3.096247673034668,
11.0,1.0,2.9051876068115234,4.000443935394287
12.0,0.0,2.5296051502227783,
12.0,1.0,3.4279043674468994,3.8576767444610596
13.0,0.0,2.7971067428588867,
13.0,1.0,2.3359546661376953,3.725123405456543
14.0,0.0,2.400712251663208,
14.0,1.0,2.59751296043396,3.6044068336486816
15.0,0.0,2.4664766788482666,
15.0,1.0,1.9994996786117554,3.4922149181365967
16.0,0.0,2.3331029415130615,
16.0,1.0,1.8244726657867432,3.388977527618408
17.0,0.0,1.8045763969421387,
17.0,1.0,2.4733192920684814,3.2954225540161133
18.0,0.0,1.994438648223877,
18.0,1.0,1.7388209104537964,3.2079195976257324
19.0,0.0,1.7932294607162476,
19.0,1.0,1.7934699058532715,3.1286017894744873
20.0,0.0,1.7602595090866089,
20.0,1.0,1.5612072944641113,3.054574489593506
21.0,0.0,1.7168300151824951,
21.0,1.0,1.3598899841308594,2.987297773361206
22.0,0.0,1.6757643222808838,
22.0,1.0,1.1815087795257568,2.9263041019439697
23.0,0.0,1.4148184061050415,
23.0,1.0,1.467252492904663,2.871782064437866
24.0,0.0,1.3178378343582153,
24.0,1.0,1.4347199201583862,2.8212666511535645
25.0,0.0,1.4013700485229492,
25.0,1.0,1.0684083700180054,2.7729246616363525
26.0,0.0,1.1029458045959473,
26.0,1.0,1.4661792516708374,2.7282233238220215
27.0,0.0,1.3571641445159912,
27.0,1.0,0.7867267727851868,2.6864609718322754
28.0,0.0,1.0105174779891968,
28.0,1.0,1.3061784505844116,2.6479544639587402
29.0,0.0,0.8169814348220825,
29.0,1.0,1.5318907499313354,2.613457679748535
30.0,0.0,1.1080105304718018,
30.0,1.0,0.8073185086250305,2.5799272060394287
31.0,0.0,0.7930178046226501,
31.0,1.0,1.2884631156921387,2.5482633113861084
32.0,0.0,0.8858550190925598,
32.0,1.0,0.9679290056228638,2.5188426971435547
33.0,0.0,0.8226926326751709,
33.0,1.0,0.9660743474960327,2.4907422065734863
34.0,0.0,0.9150058031082153,
34.0,1.0,0.6648727655410767,2.4638893604278564
35.0,0.0,0.8058208227157593,
35.0,1.0,0.7628357410430908,2.437732458114624
36.0,0.0,0.8727595806121826,
36.0,1.0,0.5263956189155579,2.41178297996521
37.0,0.0,0.6060391664505005,
37.0,1.0,0.9497257471084595,2.389064311981201
38.0,0.0,0.6755435466766357,
38.0,1.0,0.7185059189796448,2.368452787399292
39.0,0.0,0.687654972076416,
39.0,1.0,0.6044390201568604,2.3499844074249268
40.0,0.0,0.5277062654495239,
40.0,1.0,0.8317620754241943,2.3344573974609375
41.0,0.0,0.5428074598312378,
41.0,1.0,0.7231192588806152,2.3203659057617188
42.0,0.0,0.5759075880050659,
42.0,1.0,0.5779420137405396,2.3055760860443115
43.0,0.0,0.6492047309875488,
43.0,1.0,0.35912466049194336,2.2924506664276123
44.0,0.0,0.6262850761413574,
44.0,1.0,0.3332688808441162,2.2810893058776855
45.0,0.0,0.4587317705154419,
45.0,1.0,0.5972461700439453,2.2698376178741455
46.0,0.0,0.5368408560752869,
46.0,1.0,0.3811984360218048,2.261763095855713
47.0,0.0,0.42144083976745605,
47.0,1.0,0.5511428117752075,2.254582643508911
48.0,0.0,0.40158912539482117,
48.0,1.0,0.5328534841537476,2.246065139770508
49.0,0.0,0.47338128089904785,
49.0,1.0,0.3357245922088623,2.239291191101074
50.0,0.0,0.37114089727401733,
50.0,1.0,0.48425236344337463,2.234722852706909
51.0,0.0,0.378579705953598,
51.0,1.0,0.4190883934497833,2.231475591659546
52.0,0.0,0.3933086395263672,
52.0,1.0,0.3422146737575531,2.2275445461273193
53.0,0.0,0.35813114047050476,
53.0,1.0,0.3668944239616394,2.2257370948791504
54.0,0.0,0.39618760347366333,
54.0,1.0,0.24707676470279694,2.2235050201416016
55.0,0.0,0.3486311435699463,
55.0,1.0,0.29803892970085144,2.2199997901916504
56.0,0.0,0.3501098155975342,
56.0,1.0,0.25593799352645874,2.2182016372680664
57.0,0.0,0.3385912775993347,
57.0,1.0,0.24004459381103516,2.2151668071746826
58.0,0.0,0.3095657229423523,
58.0,1.0,0.2602578401565552,2.212649345397949
59.0,0.0,0.2137908637523651,
